tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-9900,United Cup,Hard,18,I,20241227,300,214981,,,Elena Rybakina,R,184,KAZ,25.5,222601,,,Jessica Bouzas Maneiro,R,,ESP,22.2,6-2 6-3,3,RR,78,0,0,62,39,27,15,9,9,10,0,4,46,22,13,7,8,1,5,6,5171,54,1046
2025-9900,United Cup,Hard,18,I,20241227,299,214386,,,Xinyu Gao,R,,CHN,27.0,206242,,,Beatriz Haddad Maia,L,185,BRA,28.5,5-7 6-4 7-5,3,RR,202,,,,,,,,,,,,,,,,,,,175,408,17,2554
2025-9900,United Cup,Hard,18,I,20241227,298,202505,,,Belinda Bencic,R,175,SUI,27.8,203564,,,Chloe Paquet,R,179,FRA,30.4,6-3 6-1,3,RR,87,,,,,,,,,,,,,,,,,,,487,106,123,593
2025-9900,United Cup,Hard,18,I,20241227,297,220367,,,Leylah Fernandez,L,168,CAN,22.3,202499,,,Donna Vekic,R,179,CRO,28.4,6-4 6-3,3,RR,85,,,,,,,,,,,,,,,,,,,31,1755,19,2258
2025-9900,United Cup,Hard,18,I,20241227,296,206408,,,Nadia Podoroska,R,170,ARG,27.8,216265,,,Olivia Gadecki,R,,AUS,22.6,6-2 6-4,3,RR,88,,,,,,,,,,,,,,,,,,,100,767,97,781
2025-9900,United Cup,Hard,18,I,20241227,295,222601,,,Jessica Bouzas Maneiro,R,,ESP,22.2,206289,,,Maria Sakkari,R,172,GRE,29.4,6-2 6-1,3,RR,72,,,,,,,,,,,,,,,,,,,54,1046,32,1743
2025-9900,United Cup,Hard,18,I,20241227,294,214096,,,Karolina Muchova,R,178,CZE,28.3,214935,,,Malene Helgo,U,,NOR,25.3,6-2 6-2,3,RR,77,,,,,,,,,,,,,,,,,,,22,1971,404,146
2025-9900,United Cup,Hard,18,I,20241227,293,201696,,,Laura Siegemund,R,168,GER,36.8,206242,,,Beatriz Haddad Maia,L,185,BRA,28.5,6-3 1-6 6-4,3,RR,153,,,,,,,,,,,,,,,,,,,80,851,17,2554
2025-9900,United Cup,Hard,18,I,20241227,292,211148,,,Jasmine Paolini,R,160,ITA,28.9,202505,,,Belinda Bencic,R,175,SUI,27.8,6-1 6-1,3,RR,58,0,2,39,22,16,7,7,1,3,1,6,44,23,9,3,7,3,10,4,5344,487,106
2025-9900,United Cup,Hard,18,I,20241227,291,221103,,,Coco Gauff,R,175,USA,20.7,220367,,,Leylah Fernandez,L,168,CAN,22.3,6-3 6-2,3,RR,96,1,3,54,31,27,10,8,2,2,0,1,74,48,27,10,9,2,6,3,6530,31,1755
2025-9900,United Cup,Hard,18,I,20241227,290,211107,,,Katie Boulter,R,180,GBR,28.4,206408,,,Nadia Podoroska,R,170,ARG,27.8,6-2 6-3,3,RR,86,,,,,,,,,,,,,,,,,,,24,1931,100,767
2025-9900,United Cup,Hard,18,I,20241227,289,214981,,,Elena Rybakina,R,184,KAZ,25.5,206289,,,Maria Sakkari,R,172,GRE,29.4,6-4 6-3,3,RR,83,7,1,63,40,29,13,10,3,4,2,6,58,33,21,11,9,5,8,6,5171,32,1743
2025-9900,United Cup,Hard,18,I,20241227,288,216347,,,Iga Swiatek,R,176,POL,23.5,214935,,,Malene Helgo,U,,NOR,25.3,6-1 6-0,3,RR,62,3,3,36,24,21,7,7,0,0,3,3,47,28,14,4,6,7,12,2,8295,404,146
